3 46 51
3 89 97
3 7 85
3 52 44
3 154 156
3 88 86
3 112 121
3 158 121
3 19 115
3 19 121
3 19 130
3 19 128
3 19 20
3 42 122
3 42 44
3 42 121
3 42 130
3 42 128
3 42 115
3 32 122
3 32 115
3 32 121
3 32 130
3 32 128
3 40 44
3 177 179
3 159 121
3 43 44
3 56 115
3 56 121
3 56 130
3 56 128
3 56 122
3 2 3
3 162 163
3 41 44
3 109 121
3 109 130
3 109 128
3 139 135
3 103 121
3 103 130
3 103 128
3 140 85
3 142 80
3 142 85
3 141 85
3 143 85
3 5 85
3 153 180
